"Age_cat","Year","Num_child","Add_child_1","Add_chl_pyy"
"30-34",2026,"2",0.185799999999996,0.0371599999999992
"30-34",2027,"2",0.179199999999996,0.0358399999999992
"30-34",2028,"2",0.172599999999995,0.0345199999999991
"30-34",2029,"2",0.165999999999995,0.0331999999999989
"30-34",2030,"2",0.159399999999995,0.031879999999999
"30-34",2031,"2",0.152799999999995,0.030559999999999
"30-34",2032,"2",0.146199999999996,0.0292399999999991
"30-34",2033,"2",0.139599999999996,0.0279199999999992
"30-34",2034,"2",0.132999999999995,0.026599999999999
"30-34",2035,"2",0.126799999999997,0.0253599999999994
"30-34",2036,"2",0.124099999999997,0.0248199999999995
"30-34",2037,"2",0.121399999999998,0.0242799999999995
"30-34",2038,"2",0.118699999999998,0.0237399999999996
"30-34",2039,"2",0.115999999999998,0.0231999999999996
"30-34",2040,"2",0.113299999999997,0.0226599999999994
"30-34",2020,"3",0.0822999999999968,0.0164599999999994
"30-34",2021,"3",0.0731999999999971,0.0146399999999994
"30-34",2022,"3",0.0640999999999963,0.0128199999999993
"30-34",2023,"3",0.0549999999999966,0.0109999999999993
"30-34",2024,"3",0.0458999999999969,0.00917999999999938
"30-34",2025,"3",0.0385999999999979,0.00771999999999957
"30-34",2026,"3",0.034699999999998,0.0069399999999996
"30-34",2027,"3",0.0307999999999981,0.00615999999999963
"30-34",2028,"3",0.0268999999999971,0.00537999999999943
"30-34",2029,"3",0.0229999999999973,0.00459999999999945
"30-34",2030,"3",0.0190999999999974,0.00381999999999948
"30-34",2031,"3",0.0151999999999975,0.00303999999999951
"30-34",2032,"3",0.0112999999999977,0.00225999999999954
"30-34",2033,"3",0.00739999999999782,0.00147999999999956
"30-34",2034,"3",0.00349999999999682,0.000699999999999363
"30-34",2035,"3",0,0
"30-34",2036,"3",0,0
"30-34",2037,"3",0,0
"30-34",2038,"3",0,0
"30-34",2039,"3",0,0
"30-34",2040,"3",0,0
"30-34",2020,"4",0.0241999999999985,0.00483999999999969
"30-34",2021,"4",0.0189999999999986,0.00379999999999973
"30-34",2022,"4",0.0137999999999988,0.00275999999999976
"30-34",2023,"4",0.008599999999999,0.0017199999999998
"30-34",2024,"4",0.00339999999999918,0.000679999999999836
"30-34",2025,"4",0,0
"30-34",2026,"4",0,0
"30-34",2027,"4",0,0
"30-34",2028,"4",0,0
"30-34",2029,"4",0,0
"30-34",2030,"4",0,0
"30-34",2031,"4",0,0
"30-34",2032,"4",0,0
"30-34",2033,"4",0,0
"30-34",2034,"4",0,0
"30-34",2035,"4",0,0
"30-34",2036,"4",0,0
"30-34",2037,"4",0,0
"30-34",2038,"4",0,0
"30-34",2039,"4",0,0
"30-34",2040,"4",0,0
"30-34",2020,"5+",0,0
"30-34",2021,"5+",0,0
"30-34",2022,"5+",0,0
"30-34",2023,"5+",0,0
"30-34",2024,"5+",0,0
"30-34",2025,"5+",0,0
"30-34",2026,"5+",0,0
"30-34",2027,"5+",0,0
"30-34",2028,"5+",0,0
"30-34",2029,"5+",0,0
"30-34",2030,"5+",0,0
"30-34",2031,"5+",0,0
"30-34",2032,"5+",0,0
"30-34",2033,"5+",0,0
"30-34",2034,"5+",0,0
"30-34",2035,"5+",0,0
"30-34",2036,"5+",0,0
"30-34",2037,"5+",0,0
"30-34",2038,"5+",0,0
"30-34",2039,"5+",0,0
"30-34",2040,"5+",0,0
"35-39",2020,"0",0.905700000000001,0.18114
"35-39",2021,"0",0.906800000000001,0.18136
"35-39",2022,"0",0.907900000000001,0.18158
"35-39",2023,"0",0.909000000000001,0.1818
"35-39",2024,"0",0.910100000000001,0.18202
"35-39",2025,"0",0.911200000000001,0.18224
"35-39",2026,"0",0.912300000000001,0.18246
"35-39",2027,"0",0.913400000000001,0.18268
"35-39",2028,"0",0.914500000000001,0.1829
"35-39",2029,"0",0.915600000000001,0.18312
"35-39",2030,"0",0.916700000000002,0.18334
"35-39",2031,"0",0.917800000000002,0.18356
"35-39",2032,"0",0.918900000000002,0.18378
"35-39",2033,"0",0.920000000000002,0.184
"35-39",2034,"0",0.921100000000002,0.18422
"35-39",2035,"0",0.922200000000002,0.18444
"35-39",2036,"0",0.923300000000002,0.18466
"35-39",2037,"0",0.924400000000002,0.18488
"35-39",2038,"0",0.925500000000002,0.1851
"35-39",2039,"0",0.926600000000003,0.185320000000001
"35-39",2040,"0",0.927700000000002,0.18554
"35-39",2020,"1",0.723599999999997,0.144719999999999
"35-39",2021,"1",0.72,0.144
"35-39",2022,"1",0.716399999999998,0.14328
"35-39",2023,"1",0.712799999999997,0.142559999999999
"35-39",2024,"1",0.709199999999997,0.141839999999999
"35-39",2025,"1",0.7056,0.14112
"35-39",2026,"1",0.708900000000004,0.141780000000001
"35-39",2027,"1",0.716400000000004,0.143280000000001
"35-39",2028,"1",0.723900000000004,0.144780000000001
"35-39",2029,"1",0.731400000000006,0.146280000000001
"35-39",2030,"1",0.738900000000006,0.147780000000001
"35-39",2031,"1",0.746400000000006,0.149280000000001
"35-39",2032,"1",0.753900000000006,0.150780000000001
"35-39",2033,"1",0.761400000000005,0.152280000000001
"35-39",2034,"1",0.768900000000005,0.153780000000001
"35-39",2035,"1",0.776400000000006,0.155280000000001
"35-39",2036,"1",0.783900000000007,0.156780000000001
"35-39",2037,"1",0.791400000000007,0.158280000000001
"35-39",2038,"1",0.798900000000007,0.159780000000001
"35-39",2039,"1",0.806400000000007,0.161280000000001
"35-39",2040,"1",0.813900000000008,0.162780000000002
"35-39",2020,"2",0.403499999999995,0.080699999999999
"35-39",2021,"2",0.396399999999998,0.0792799999999996
"35-39",2022,"2",0.389299999999997,0.0778599999999993
"35-39",2023,"2",0.382199999999995,0.076439999999999
"35-39",2024,"2",0.375099999999995,0.075019999999999
"35-39",2025,"2",0.367999999999998,0.0735999999999996
"35-39",2026,"2",0.367800000000002,0.0735600000000004
"35-39",2027,"2",0.369399999999986,0.0738799999999971
"35-39",2028,"2",0.355499999999996,0.0710999999999992
"35-39",2029,"2",0.354399999999997,0.0708799999999994
"35-39",2030,"2",0.353299999999996,0.0706599999999992
"35-39",2031,"2",0.352199999999997,0.0704399999999994
"35-39",2032,"2",0.351099999999997,0.0702199999999994
"35-39",2033,"2",0.349999999999995,0.0699999999999991
"35-39",2034,"2",0.348899999999996,0.0697799999999993
"35-39",2035,"2",0.347799999999995,0.069559999999999
"35-39",2036,"2",0.346699999999996,0.0693399999999992
"35-39",2037,"2",0.345599999999997,0.0691199999999994
"35-39",2038,"2",0.344499999999996,0.0688999999999992
"35-39",2039,"2",0.343399999999996,0.0686799999999992
"35-39",2040,"2",0.342299999999994,0.0684599999999989
"35-39",2020,"3",0.171199999999993,0.0342399999999987
"35-39",2021,"3",0.160199999999997,0.0320399999999994
"35-39",2022,"3",0.149199999999996,0.0298399999999991
"35-39",2023,"3",0.138199999999994,0.0276399999999989
"35-39",2024,"3",0.127199999999993,0.0254399999999986
"35-39",2025,"3",0.116199999999996,0.0232399999999993
"35-39",2026,"3",0.1121,0.02242
"35-39",2027,"3",0.0963999999999851,0.019279999999997
"35-39",2028,"3",0.0776999999999953,0.0155399999999991
"35-39",2029,"3",0.0717999999999961,0.0143599999999992
"35-39",2030,"3",0.0658999999999946,0.0131799999999989
"35-39",2031,"3",0.0599999999999955,0.0119999999999991
"35-39",2032,"3",0.0540999999999963,0.0108199999999993
"35-39",2033,"3",0.0481999999999948,0.00963999999999896
"35-39",2034,"3",0.0422999999999956,0.00845999999999913
"35-39",2035,"3",0.0363999999999942,0.00727999999999884
"35-39",2036,"3",0.030499999999995,0.006099999999999
"35-39",2037,"3",0.0245999999999958,0.00491999999999916
"35-39",2038,"3",0.0186999999999944,0.00373999999999887
"35-39",2039,"3",0.0127999999999952,0.00255999999999904
"35-39",2040,"3",0.00689999999999372,0.00137999999999874
"35-39",2020,"4",0.0596999999999935,0.0119399999999987
"35-39",2021,"4",0.0485999999999967,0.00971999999999935
"35-39",2022,"4",0.0374999999999955,0.00749999999999909
"35-39",2023,"4",0.0263999999999942,0.00527999999999884
"35-39",2024,"4",0.0152999999999929,0.00305999999999858
"35-39",2025,"4",0.00419999999999618,0.000839999999999236
"35-39",2026,"4",0,0
"35-39",2027,"4",0,0
"35-39",2028,"4",0,0
"35-39",2029,"4",0,0
"35-39",2030,"4",0,0
"35-39",2031,"4",0,0
"35-39",2032,"4",0,0
"35-39",2033,"4",0,0
"35-39",2034,"4",0,0
"35-39",2035,"4",0,0
"35-39",2036,"4",0,0
"35-39",2037,"4",0,0
"35-39",2038,"4",0,0
"35-39",2039,"4",0,0
"35-39",2040,"4",0,0
"35-39",2020,"5+",0,0
"35-39",2021,"5+",0,0
"35-39",2022,"5+",0,0
"35-39",2023,"5+",0,0
"35-39",2024,"5+",0,0
"35-39",2025,"5+",0,0
"35-39",2026,"5+",0,0
"35-39",2027,"5+",0,0
"35-39",2028,"5+",0,0
"35-39",2029,"5+",0,0
"35-39",2030,"5+",0,0
"35-39",2031,"5+",0,0
"35-39",2032,"5+",0,0
"35-39",2033,"5+",0,0
"35-39",2034,"5+",0,0
"35-39",2035,"5+",0,0
"35-39",2036,"5+",0,0
"35-39",2037,"5+",0,0
"35-39",2038,"5+",0,0
"35-39",2039,"5+",0,0
"35-39",2040,"5+",0,0
"40-44",2020,"0",0.932700000000001,0.18654
"40-44",2021,"0",0.934200000000001,0.18684
"40-44",2022,"0",0.9354,0.18708
"40-44",2023,"0",0.9358,0.18716
"40-44",2024,"0",0.9362,0.18724
"40-44",2025,"0",0.9366,0.18732
"40-44",2026,"0",0.937,0.1874
"40-44",2027,"0",0.9374,0.18748
"40-44",2028,"0",0.9378,0.18756
"40-44",2029,"0",0.9382,0.18764
"40-44",2030,"0",0.938600000000001,0.18772
"40-44",2031,"0",0.939000000000001,0.1878
"40-44",2032,"0",0.939400000000001,0.18788
"40-44",2033,"0",0.939800000000001,0.18796
"40-44",2034,"0",0.940200000000001,0.18804
"40-44",2035,"0",0.940600000000001,0.18812
"40-44",2036,"0",0.941000000000001,0.1882
"40-44",2037,"0",0.941400000000001,0.18828
"40-44",2038,"0",0.941800000000001,0.18836
"40-44",2039,"0",0.942200000000001,0.18844
"40-44",2040,"0",0.942600000000001,0.18852
"40-44",2020,"1",0.786799999999999,0.15736
"40-44",2021,"1",0.781799999999998,0.15636
"40-44",2022,"1",0.776799999999998,0.15536
"40-44",2023,"1",0.771799999999998,0.15436
"40-44",2024,"1",0.766799999999997,0.153359999999999
"40-44",2025,"1",0.761799999999999,0.15236
"40-44",2026,"1",0.7568,0.15136
"40-44",2027,"1",0.751799999999999,0.15036
"40-44",2028,"1",0.746799999999999,0.14936
"40-44",2029,"1",0.753000000000007,0.150600000000001
"40-44",2030,"1",0.762000000000007,0.152400000000001
"40-44",2031,"1",0.771000000000005,0.154200000000001
"40-44",2032,"1",0.780000000000006,0.156000000000001
"40-44",2033,"1",0.789000000000007,0.157800000000001
"40-44",2034,"1",0.798000000000007,0.159600000000001
"40-44",2035,"1",0.807000000000008,0.161400000000002
"40-44",2036,"1",0.816000000000006,0.163200000000001
"40-44",2037,"1",0.825000000000006,0.165000000000001
"40-44",2038,"1",0.834000000000007,0.166800000000001
"40-44",2039,"1",0.843000000000008,0.168600000000001
"40-44",2040,"1",0.852000000000008,0.170400000000002
"40-44",2020,"2",0.503299999999998,0.100659999999999
"40-44",2021,"2",0.494599999999997,0.0989199999999994
"40-44",2022,"2",0.476399999999983,0.0952799999999966
"40-44",2023,"2",0.454999999999984,0.0909999999999968
"40-44",2024,"2",0.433599999999988,0.0867199999999975
"40-44",2025,"2",0.412199999999982,0.0824399999999964
"40-44",2026,"2",0.390799999999982,0.0781599999999964
"40-44",2027,"2",0.369399999999986,0.0738799999999971
"40-44",2028,"2",0.355499999999996,0.0710999999999992
"40-44",2029,"2",0.354399999999997,0.0708799999999994
"40-44",2030,"2",0.353299999999996,0.0706599999999992
"40-44",2031,"2",0.352199999999997,0.0704399999999994
"40-44",2032,"2",0.351099999999997,0.0702199999999994
"40-44",2033,"2",0.349999999999995,0.0699999999999991
"40-44",2034,"2",0.348899999999996,0.0697799999999993
"40-44",2035,"2",0.347799999999995,0.069559999999999
"40-44",2036,"2",0.346699999999996,0.0693399999999992
"40-44",2037,"2",0.345599999999997,0.0691199999999994
"40-44",2038,"2",0.344499999999996,0.0688999999999992
"40-44",2039,"2",0.343399999999996,0.0686799999999992
"40-44",2040,"2",0.342299999999994,0.0684599999999989
"40-44",2020,"3",0.248399999999995,0.049679999999999
"40-44",2021,"3",0.232799999999994,0.0465599999999988
"40-44",2022,"3",0.217199999999993,0.0434399999999986
"40-44",2023,"3",0.201199999999983,0.0402399999999966
"40-44",2024,"3",0.174999999999986,0.0349999999999973
"40-44",2025,"3",0.148799999999981,0.0297599999999961
"40-44",2026,"3",0.122599999999982,0.0245199999999963
"40-44",2027,"3",0.0963999999999851,0.019279999999997
"40-44",2028,"3",0.0776999999999953,0.0155399999999991
"40-44",2029,"3",0.0717999999999961,0.0143599999999992
"40-44",2030,"3",0.0658999999999946,0.0131799999999989
"40-44",2031,"3",0.0599999999999955,0.0119999999999991
"40-44",2032,"3",0.0540999999999963,0.0108199999999993
"40-44",2033,"3",0.0481999999999948,0.00963999999999896
"40-44",2034,"3",0.0422999999999956,0.00845999999999913
"40-44",2035,"3",0.0363999999999942,0.00727999999999884
"40-44",2036,"3",0.030499999999995,0.006099999999999
"40-44",2037,"3",0.0245999999999958,0.00491999999999916
"40-44",2038,"3",0.0186999999999944,0.00373999999999887
"40-44",2039,"3",0.0127999999999952,0.00255999999999904
"40-44",2040,"3",0.00689999999999372,0.00137999999999874
"40-44",2020,"4",0.114799999999996,0.0229599999999991
"40-44",2021,"4",0.100799999999995,0.0201599999999989
"40-44",2022,"4",0.0867999999999938,0.0173599999999988
"40-44",2023,"4",0.0727999999999929,0.0145599999999986
"40-44",2024,"4",0.058799999999992,0.0117599999999984
"40-44",2025,"4",0.0447999999999956,0.00895999999999913
"40-44",2026,"4",0.0307999999999947,0.00615999999999894
"40-44",2027,"4",0.0127999999999884,0.00255999999999767
"40-44",2028,"4",0,0
"40-44",2029,"4",0,0
"40-44",2030,"4",0,0
"40-44",2031,"4",0,0
"40-44",2032,"4",0,0
"40-44",2033,"4",0,0
"40-44",2034,"4",0,0
"40-44",2035,"4",0,0
"40-44",2036,"4",0,0
"40-44",2037,"4",0,0
"40-44",2038,"4",0,0
"40-44",2039,"4",0,0
"40-44",2040,"4",0,0
"40-44",2020,"5+",0,0
"40-44",2021,"5+",0,0
"40-44",2022,"5+",0,0
"40-44",2023,"5+",0,0
"40-44",2024,"5+",0,0
"40-44",2025,"5+",0,0
"40-44",2026,"5+",0,0
"40-44",2027,"5+",0,0
"40-44",2028,"5+",0,0
"40-44",2029,"5+",0,0
"40-44",2030,"5+",0,0
"40-44",2031,"5+",0,0
"40-44",2032,"5+",0,0
"40-44",2033,"5+",0,0
"40-44",2034,"5+",0,0
"40-44",2035,"5+",0,0
"40-44",2036,"5+",0,0
"40-44",2037,"5+",0,0
"40-44",2038,"5+",0,0
"40-44",2039,"5+",0,0
"40-44",2040,"5+",0,0
"45-49",2020,"0",0.9346,0.18692
"45-49",2021,"0",0.935,0.187
"45-49",2022,"0",0.9354,0.18708
"45-49",2023,"0",0.9358,0.18716
"45-49",2024,"0",0.9362,0.18724
"45-49",2025,"0",0.9366,0.18732
"45-49",2026,"0",0.937,0.1874
"45-49",2027,"0",0.9374,0.18748
"45-49",2028,"0",0.9378,0.18756
"45-49",2029,"0",0.9382,0.18764
"45-49",2030,"0",0.938600000000001,0.18772
"45-49",2031,"0",0.939000000000001,0.1878
"45-49",2032,"0",0.939400000000001,0.18788
"45-49",2033,"0",0.939800000000001,0.18796
"45-49",2034,"0",0.940200000000001,0.18804
"45-49",2035,"0",0.940600000000001,0.18812
"45-49",2036,"0",0.941000000000001,0.1882
"45-49",2037,"0",0.941400000000001,0.18828
"45-49",2038,"0",0.941800000000001,0.18836
"45-49",2039,"0",0.942200000000001,0.18844
"45-49",2040,"0",0.942600000000001,0.18852
"45-49",2020,"1",0.808199999999988,0.161639999999998
"45-49",2021,"1",0.802199999999993,0.160439999999999
"45-49",2022,"1",0.796199999999988,0.159239999999998
"45-49",2023,"1",0.790199999999988,0.158039999999998
"45-49",2024,"1",0.784199999999992,0.156839999999998
"45-49",2025,"1",0.778199999999986,0.155639999999997
"45-49",2026,"1",0.772199999999985,0.154439999999997
"45-49",2027,"1",0.766199999999993,0.153239999999999
"45-49",2028,"1",0.767700000000003,0.153540000000001
"45-49",2029,"1",0.782000000000004,0.156400000000001
"45-49",2030,"1",0.796300000000002,0.15926
"45-49",2031,"1",0.810600000000003,0.162120000000001
"45-49",2032,"1",0.824900000000002,0.16498
"45-49",2033,"1",0.839200000000005,0.167840000000001
"45-49",2034,"1",0.853500000000006,0.170700000000001
"45-49",2035,"1",0.867800000000004,0.173560000000001
"45-49",2036,"1",0.882100000000005,0.176420000000001
"45-49",2037,"1",0.896400000000006,0.179280000000001
"45-49",2038,"1",0.910700000000004,0.182140000000001
"45-49",2039,"1",0.925000000000008,0.185000000000002
"45-49",2040,"1",0.939300000000006,0.187860000000001
"45-49",2020,"2",0.519199999999987,0.103839999999997
"45-49",2021,"2",0.497799999999988,0.0995599999999977
"45-49",2022,"2",0.476399999999983,0.0952799999999966
"45-49",2023,"2",0.454999999999984,0.0909999999999968
"45-49",2024,"2",0.433599999999988,0.0867199999999975
"45-49",2025,"2",0.412199999999982,0.0824399999999964
"45-49",2026,"2",0.390799999999982,0.0781599999999964
"45-49",2027,"2",0.369399999999986,0.0738799999999971
"45-49",2028,"2",0.355499999999996,0.0710999999999992
"45-49",2029,"2",0.354399999999997,0.0708799999999994
"45-49",2030,"2",0.353299999999996,0.0706599999999992
"45-49",2031,"2",0.352199999999997,0.0704399999999994
"45-49",2032,"2",0.351099999999997,0.0702199999999994
"45-49",2033,"2",0.349999999999995,0.0699999999999991
"45-49",2034,"2",0.348899999999996,0.0697799999999993
"45-49",2035,"2",0.347799999999995,0.069559999999999
"45-49",2036,"2",0.346699999999996,0.0693399999999992
"45-49",2037,"2",0.345599999999997,0.0691199999999994
"45-49",2038,"2",0.344499999999996,0.0688999999999992
"45-49",2039,"2",0.343399999999996,0.0686799999999992
"45-49",2040,"2",0.342299999999994,0.0684599999999989
"45-49",2020,"3",0.279799999999987,0.0559599999999973
"45-49",2021,"3",0.253599999999988,0.0507199999999975
"45-49",2022,"3",0.227399999999982,0.0454799999999964
"45-49",2023,"3",0.201199999999983,0.0402399999999966
"45-49",2024,"3",0.174999999999986,0.0349999999999973
"45-49",2025,"3",0.148799999999981,0.0297599999999961
"45-49",2026,"3",0.122599999999982,0.0245199999999963
"45-49",2027,"3",0.0963999999999851,0.019279999999997
"45-49",2028,"3",0.0776999999999953,0.0155399999999991
"45-49",2029,"3",0.0717999999999961,0.0143599999999992
"45-49",2030,"3",0.0658999999999946,0.0131799999999989
"45-49",2031,"3",0.0599999999999955,0.0119999999999991
"45-49",2032,"3",0.0540999999999963,0.0108199999999993
"45-49",2033,"3",0.0481999999999948,0.00963999999999896
"45-49",2034,"3",0.0422999999999956,0.00845999999999913
"45-49",2035,"3",0.0363999999999942,0.00727999999999884
"45-49",2036,"3",0.030499999999995,0.006099999999999
"45-49",2037,"3",0.0245999999999958,0.00491999999999916
"45-49",2038,"3",0.0186999999999944,0.00373999999999887
"45-49",2039,"3",0.0127999999999952,0.00255999999999904
"45-49",2040,"3",0.00689999999999372,0.00137999999999874
"45-49",2020,"4",0.154899999999989,0.0309799999999977
"45-49",2021,"4",0.134599999999991,0.0269199999999983
"45-49",2022,"4",0.114299999999985,0.0228599999999969
"45-49",2023,"4",0.0939999999999873,0.0187999999999975
"45-49",2024,"4",0.0736999999999898,0.014739999999998
"45-49",2025,"4",0.0533999999999833,0.0106799999999967
"45-49",2026,"4",0.0330999999999858,0.00661999999999716
"45-49",2027,"4",0.0127999999999884,0.00255999999999767
"45-49",2028,"4",0,0
"45-49",2029,"4",0,0
"45-49",2030,"4",0,0
"45-49",2031,"4",0,0
"45-49",2032,"4",0,0
"45-49",2033,"4",0,0
"45-49",2034,"4",0,0
"45-49",2035,"4",0,0
"45-49",2036,"4",0,0
"45-49",2037,"4",0,0
"45-49",2038,"4",0,0
"45-49",2039,"4",0,0
"45-49",2040,"4",0,0
"45-49",2020,"5+",0,0
"45-49",2021,"5+",0,0
"45-49",2022,"5+",0,0
"45-49",2023,"5+",0,0
"45-49",2024,"5+",0,0
"45-49",2025,"5+",0,0
"45-49",2026,"5+",0,0
"45-49",2027,"5+",0,0
"45-49",2028,"5+",0,0
"45-49",2029,"5+",0,0
"45-49",2030,"5+",0,0
"45-49",2031,"5+",0,0
"45-49",2032,"5+",0,0
"45-49",2033,"5+",0,0
"45-49",2034,"5+",0,0
"45-49",2035,"5+",0,0
"45-49",2036,"5+",0,0
"45-49",2037,"5+",0,0
"45-49",2038,"5+",0,0
"45-49",2039,"5+",0,0
"45-49",2040,"5+",0,0
