"Age_cat","Year","Num_child","Add_child_1","Add_chl_pyy"
"20-24",2015,"4",0,0
"25-29",2015,"4",0.011,0.0022
"30-34",2015,"4",0.051,0.0102
"35-39",2015,"4",0.115,0.023
"40-44",2015,"4",0.184,0.0368
"45-49",2015,"4",0.252,0.0504
"15-19",2016,"4",0,0
"20-24",2016,"4",0.001,2e-04
"25-29",2016,"4",0.011,0.0022
"30-34",2016,"4",0.046,0.0092
"35-39",2016,"4",0.103,0.0206
"40-44",2016,"4",0.174,0.0348
"45-49",2016,"4",0.243,0.0486
"15-19",2017,"4",0,0
"20-24",2017,"4",0.001,2e-04
"25-29",2017,"4",0.011,0.0022
"30-34",2017,"4",0.037,0.0074
"35-39",2017,"4",0.094,0.0188
"40-44",2017,"4",0.155,0.031
"45-49",2017,"4",0.212,0.0424
"15-19",2018,"4",0,0
"20-24",2018,"4",0.001,2e-04
"25-29",2018,"4",0.007,0.0014
"30-34",2018,"4",0.034,0.0068
"35-39",2018,"4",0.084,0.0168
"40-44",2018,"4",0.14,0.028
"45-49",2018,"4",0.2,0.04
"15-19",2019,"4",0,0
"20-24",2019,"4",0,0
"25-29",2019,"4",0.004,8e-04
"30-34",2019,"4",0.031,0.0062
"35-39",2019,"4",0.069,0.0138
"40-44",2019,"4",0.131,0.0262
"45-49",2019,"4",0.172,0.0344
"15-19",2015,"5+",0,0
"20-24",2015,"5+",0,0
"25-29",2015,"5+",0,0
"30-34",2015,"5+",0,0
"35-39",2015,"5+",0,0
"40-44",2015,"5+",0,0
"45-49",2015,"5+",0,0
"15-19",2016,"5+",0,0
"20-24",2016,"5+",0,0
"25-29",2016,"5+",0,0
"30-34",2016,"5+",0,0
"35-39",2016,"5+",0,0
"40-44",2016,"5+",0,0
"45-49",2016,"5+",0,0
"15-19",2017,"5+",0,0
"20-24",2017,"5+",0,0
"25-29",2017,"5+",0,0
"30-34",2017,"5+",0,0
"35-39",2017,"5+",0,0
"40-44",2017,"5+",0,0
"45-49",2017,"5+",0,0
"15-19",2018,"5+",0,0
"20-24",2018,"5+",0,0
"25-29",2018,"5+",0,0
"30-34",2018,"5+",0,0
"35-39",2018,"5+",0,0
"40-44",2018,"5+",0,0
"45-49",2018,"5+",0,0
"15-19",2019,"5+",0,0
"20-24",2019,"5+",0,0
"25-29",2019,"5+",0,0
