"Age_cat","Year","Num_child","Percentage","probs"
"25-29",2018,"1",33.4,0.334
"30-34",2018,"1",24.9,0.249
"35-39",2018,"1",17.3,0.173
"40-44",2018,"1",14.4,0.144
"45-49",2018,"1",11,0.11
"15-19",2019,"1",5.9,0.059
"20-24",2019,"1",24.9,0.249
"25-29",2019,"1",31.7,0.317
"30-34",2019,"1",25.8,0.258
"35-39",2019,"1",17.8,0.178
"40-44",2019,"1",13.2,0.132
"45-49",2019,"1",12.7,0.127
"15-19",2015,"2",1.1,0.011
"20-24",2015,"2",11.7,0.117
"25-29",2015,"2",26.6,0.266
"30-34",2015,"2",31.3,0.313
"35-39",2015,"2",30.8,0.308
"40-44",2015,"2",26.7,0.267
"45-49",2015,"2",22.6,0.226
"15-19",2016,"2",1.1,0.011
"20-24",2016,"2",11.8,0.118
"25-29",2016,"2",27.3,0.273
"30-34",2016,"2",32,0.32
"35-39",2016,"2",30.5,0.305
"40-44",2016,"2",26.9,0.269
"45-49",2016,"2",22,0.22
"15-19",2017,"2",1,0.01
"20-24",2017,"2",11.5,0.115
"25-29",2017,"2",27.2,0.272
"30-34",2017,"2",32.7,0.327
"35-39",2017,"2",29.8,0.298
"40-44",2017,"2",26.6,0.266
"45-49",2017,"2",23,0.23
"15-19",2018,"2",1,0.01
"20-24",2018,"2",10.6,0.106
"25-29",2018,"2",25.3,0.253
"30-34",2018,"2",32,0.32
"35-39",2018,"2",31.8,0.318
"40-44",2018,"2",28,0.28
"45-49",2018,"2",25,0.25
"15-19",2019,"2",0.6,0.006
"20-24",2019,"2",8.5,0.085
"25-29",2019,"2",24.6,0.246
"30-34",2019,"2",31.8,0.318
"35-39",2019,"2",31.9,0.319
"40-44",2019,"2",28,0.28
"45-49",2019,"2",28.8,0.288
"15-19",2015,"3",0,0
"20-24",2015,"3",2.6,0.026
"25-29",2015,"3",10.1,0.101
"30-34",2015,"3",18.4,0.184
"35-39",2015,"3",21.2,0.212
"40-44",2015,"3",22.1,0.221
"45-49",2015,"3",20.6,0.206
"15-19",2016,"3",0.1,0.001
"20-24",2016,"3",2.6,0.026
"25-29",2016,"3",10.5,0.105
"30-34",2016,"3",17.5,0.175
"35-39",2016,"3",21.7,0.217
"40-44",2016,"3",23.6,0.236
"45-49",2016,"3",21.9,0.219
"15-19",2017,"3",0,0
"20-24",2017,"3",2.5,0.025
"25-29",2017,"3",9.5,0.095
"30-34",2017,"3",17.2,0.172
"35-39",2017,"3",22.3,0.223
"40-44",2017,"3",22.9,0.229
"45-49",2017,"3",24.2,0.242
"15-19",2018,"3",0.1,0.001
"20-24",2018,"3",2,0.02
"25-29",2018,"3",8.5,0.085
"30-34",2018,"3",17.6,0.176
"35-39",2018,"3",22.2,0.222
"40-44",2018,"3",22.3,0.223
"45-49",2018,"3",23.7,0.237
"15-19",2019,"3",0.1,0.001
"20-24",2019,"3",1.5,0.015
"25-29",2019,"3",8,0.08
"30-34",2019,"3",17,0.17
"35-39",2019,"3",22.9,0.229
"40-44",2019,"3",26.2,0.262
"45-49",2019,"3",22.1,0.221
"15-19",2015,"4",0,0
"20-24",2015,"4",0.4,0.004
"25-29",2015,"4",3.1,0.031
"30-34",2015,"4",7.8,0.078
"35-39",2015,"4",11.3,0.113
"40-44",2015,"4",13.9,0.139
"45-49",2015,"4",15.1,0.151
"15-19",2016,"4",0,0
"20-24",2016,"4",0.4,0.004
"25-29",2016,"4",2.9,0.029
"30-34",2016,"4",7.5,0.075
"35-39",2016,"4",11.4,0.114
"40-44",2016,"4",14,0.14
"45-49",2016,"4",15.4,0.154
"15-19",2017,"4",0,0
"20-24",2017,"4",0.3,0.003
"25-29",2017,"4",2.7,0.027
"30-34",2017,"4",6.8,0.068
"35-39",2017,"4",10.7,0.107
"40-44",2017,"4",14.2,0.142
"45-49",2017,"4",14.4,0.144
"15-19",2018,"4",0,0
"20-24",2018,"4",0.4,0.004
"25-29",2018,"4",2.5,0.025
"30-34",2018,"4",6.4,0.064
"35-39",2018,"4",10.3,0.103
"40-44",2018,"4",14,0.14
"45-49",2018,"4",13.1,0.131
"15-19",2019,"4",0,0
"20-24",2019,"4",0.2,0.002
"25-29",2019,"4",1.9,0.019
"30-34",2019,"4",6.4,0.064
"35-39",2019,"4",11.9,0.119
"40-44",2019,"4",13.1,0.131
"45-49",2019,"4",13.3,0.133
"15-19",2015,"5+",0,0
"20-24",2015,"5+",0,0
"25-29",2015,"5+",1.1,0.011
"30-34",2015,"5+",5.1,0.051
"35-39",2015,"5+",11.5,0.115
"40-44",2015,"5+",18.4,0.184
"45-49",2015,"5+",25.2,0.252
"15-19",2016,"5+",0,0
"20-24",2016,"5+",0.1,0.001
"25-29",2016,"5+",1.1,0.011
"30-34",2016,"5+",4.6,0.046
"35-39",2016,"5+",10.3,0.103
"40-44",2016,"5+",17.4,0.174
"45-49",2016,"5+",24.3,0.243
"15-19",2017,"5+",0,0
"20-24",2017,"5+",0.1,0.001
"25-29",2017,"5+",1.1,0.011
"30-34",2017,"5+",3.7,0.037
"35-39",2017,"5+",9.4,0.094
"40-44",2017,"5+",15.5,0.155
"45-49",2017,"5+",21.2,0.212
"15-19",2018,"5+",0,0
"20-24",2018,"5+",0.1,0.001
"25-29",2018,"5+",0.7,0.007
"30-34",2018,"5+",3.4,0.034
"35-39",2018,"5+",8.4,0.084
"40-44",2018,"5+",14,0.14
"45-49",2018,"5+",20,0.2
"15-19",2019,"5+",0,0
"20-24",2019,"5+",0,0
"25-29",2019,"5+",0.4,0.004
"30-34",2019,"5+",3.1,0.031
"35-39",2019,"5+",6.9,0.069
"40-44",2019,"5+",13.1,0.131
"45-49",2019,"5+",17.2,0.172
"15-19",2020,"0",93.2800000000007,0.932800000000007
"15-19",2021,"0",94.1800000000005,0.941800000000005
"15-19",2022,"0",95.0800000000006,0.950800000000006
"15-19",2023,"0",95.9800000000007,0.959800000000007
"15-19",2024,"0",96.8800000000006,0.968800000000006
"15-19",2025,"0",97.7800000000007,0.977800000000007
"15-19",2026,"0",98.6800000000007,0.986800000000007
"15-19",2027,"0",99.5800000000006,0.995800000000006
"15-19",2028,"0",100,1
"15-19",2029,"0",100,1
"15-19",2030,"0",100,1
"15-19",2031,"0",100,1
"15-19",2032,"0",100,1
"15-19",2033,"0",100,1
"15-19",2034,"0",100,1
"15-19",2035,"0",100,1
"15-19",2036,"0",100,1
"15-19",2037,"0",100,1
"15-19",2038,"0",100,1
"15-19",2039,"0",100,1
"15-19",2040,"0",100,1
"15-19",2020,"1",6.09999999999968,0.0609999999999968
"15-19",2021,"1",5.31999999999971,0.0531999999999971
"15-19",2022,"1",4.53999999999974,0.0453999999999974
"15-19",2023,"1",3.75999999999976,0.0375999999999976
"15-19",2024,"1",2.97999999999979,0.0297999999999979
"15-19",2025,"1",2.19999999999959,0.0219999999999959
"15-19",2026,"1",1.41999999999962,0.0141999999999962
"15-19",2027,"1",0.639999999999645,0.00639999999999645
"15-19",2028,"1",0,0
"15-19",2029,"1",0,0
"15-19",2030,"1",0,0
"15-19",2031,"1",0,0
"15-19",2032,"1",0,0
"15-19",2033,"1",0,0
"15-19",2034,"1",0,0
"15-19",2035,"1",0,0
"15-19",2036,"1",0,0
"15-19",2037,"1",0,0
"15-19",2038,"1",0,0
"15-19",2039,"1",0,0
"15-19",2040,"1",0,0
"15-19",2020,"2",0.629999999999939,0.00629999999999939
"15-19",2021,"2",0.519999999999925,0.00519999999999925
"15-19",2022,"2",0.40999999999994,0.0040999999999994
"15-19",2023,"2",0.299999999999926,0.00299999999999926
"15-19",2024,"2",0.189999999999941,0.00189999999999941
"15-19",2025,"2",0.0799999999999272,0.000799999999999272
"15-19",2026,"2",0,0
"15-19",2027,"2",0,0
"15-19",2028,"2",0,0
"15-19",2029,"2",0,0
"15-19",2030,"2",0,0
"15-19",2031,"2",0,0
"15-19",2032,"2",0,0
"15-19",2033,"2",0,0
"15-19",2034,"2",0,0
"15-19",2035,"2",0,0
"15-19",2036,"2",0,0
"15-19",2037,"2",0,0
"15-19",2038,"2",0,0
"15-19",2039,"2",0,0
"15-19",2040,"2",0,0
"15-19",2020,"3",0.120000000000012,0.00120000000000012
"15-19",2021,"3",0.140000000000008,0.00140000000000008
"15-19",2022,"3",0.160000000000011,0.00160000000000011
"15-19",2023,"3",0.180000000000007,0.00180000000000007
"15-19",2024,"3",0.20000000000001,0.0020000000000001
"15-19",2025,"3",0.220000000000013,0.00220000000000013
"15-19",2026,"3",0.240000000000009,0.00240000000000009
"15-19",2027,"3",0.260000000000012,0.00260000000000012
"15-19",2028,"3",0.280000000000008,0.00280000000000008
"15-19",2029,"3",0.300000000000011,0.00300000000000011
"15-19",2030,"3",0.320000000000007,0.00320000000000007
"15-19",2031,"3",0.340000000000011,0.00340000000000011
"15-19",2032,"3",0.360000000000014,0.00360000000000014
"15-19",2033,"3",0.38000000000001,0.0038000000000001
"15-19",2034,"3",0.400000000000013,0.00400000000000013
"15-19",2035,"3",0.420000000000009,0.00420000000000009
"15-19",2036,"3",0.440000000000012,0.00440000000000012
"15-19",2037,"3",0.460000000000015,0.00460000000000015
"15-19",2038,"3",0.480000000000011,0.00480000000000011
"15-19",2039,"3",0.500000000000014,0.00500000000000014
"15-19",2040,"3",0.52000000000001,0.0052000000000001
"15-19",2020,"4",0,0
"15-19",2021,"4",0,0
"15-19",2022,"4",0,0
"15-19",2023,"4",0,0
"15-19",2024,"4",0,0
"15-19",2025,"4",0,0
"15-19",2026,"4",0,0
"15-19",2027,"4",0,0
"15-19",2028,"4",0,0
"15-19",2029,"4",0,0
"15-19",2030,"4",0,0
"15-19",2031,"4",0,0
"15-19",2032,"4",0,0
"15-19",2033,"4",0,0
"15-19",2034,"4",0,0
"15-19",2035,"4",0,0
"15-19",2036,"4",0,0
"15-19",2037,"4",0,0
"15-19",2038,"4",0,0
"15-19",2039,"4",0,0
"15-19",2040,"4",0,0
"15-19",2020,"5+",0,0
"15-19",2021,"5+",0,0
"15-19",2022,"5+",0,0
"15-19",2023,"5+",0,0
"15-19",2024,"5+",0,0
"15-19",2025,"5+",0,0
"15-19",2026,"5+",0,0
"15-19",2027,"5+",0,0
"15-19",2028,"5+",0,0
"15-19",2029,"5+",0,0
"15-19",2030,"5+",0,0
"15-19",2031,"5+",0,0
"15-19",2032,"5+",0,0
"15-19",2033,"5+",0,0
"15-19",2034,"5+",0,0
"15-19",2035,"5+",0,0
"15-19",2036,"5+",0,0
"15-19",2037,"5+",0,0
"15-19",2038,"5+",0,0
"15-19",2039,"5+",0,0
"15-19",2040,"5+",0,0
"20-24",2020,"0",64.7000000000007,0.647000000000007
"20-24",2021,"0",67.3400000000011,0.673400000000011
"20-24",2022,"0",69.9800000000014,0.699800000000014
"20-24",2023,"0",72.6200000000008,0.726200000000008
"20-24",2024,"0",75.2600000000011,0.752600000000011
"20-24",2025,"0",77.9000000000015,0.779000000000015
"20-24",2026,"0",80.5400000000018,0.805400000000018
"20-24",2027,"0",83.1800000000012,0.831800000000012
"20-24",2028,"0",85.8200000000015,0.858200000000015
"20-24",2029,"0",88.4600000000019,0.884600000000019
"20-24",2030,"0",91.1000000000013,0.911000000000013
"20-24",2031,"0",93.7400000000016,0.937400000000016
"20-24",2032,"0",96.3800000000019,0.963800000000019
"20-24",2033,"0",99.0200000000013,0.990200000000014
"20-24",2034,"0",100,1
"20-24",2035,"0",100,1
"20-24",2036,"0",100,1
"20-24",2037,"0",100,1
"20-24",2038,"0",100,1
"20-24",2039,"0",100,1
"20-24",2040,"0",100,1
"20-24",2020,"1",25.0199999999991,0.250199999999991
"20-24",2021,"1",23.4399999999991,0.234399999999991
"20-24",2022,"1",21.8599999999992,0.218599999999992
"20-24",2023,"1",20.2799999999993,0.202799999999993
"20-24",2024,"1",18.6999999999989,0.186999999999989
"20-24",2025,"1",17.119999999999,0.17119999999999
"20-24",2026,"1",15.5399999999991,0.155399999999991
"20-24",2027,"1",13.9599999999991,0.139599999999991
"20-24",2028,"1",12.3799999999987,0.123799999999987
"20-24",2029,"1",10.7999999999988,0.107999999999988
